title,authors,doi,venue,source,year,is_top_venue
Fairy-Tale Images in an Internet Meme as a Creolised Text,['Oksana Vladislavovna Vlasova'],https://doi.org/10.30853/phil20220198,Philology Theory & Practice,OpenAlex,2022,False
Technologies of Virtual and Augmented Reality in Biomedical Engineering,"['Kristina Demidova', 'Natalia Markovkina']",https://doi.org/10.1109/elconrus54750.2022.9755844,2022 Conference of Russian Young Researchers in Electrical and Electronic Engineering (ElConRus),OpenAlex,2022,False
Assertiveness as a coping strategy and personal characteristic in adolescence,"['Evgenia G. Troshikhina', 'Galina V. Navdushevich']",https://doi.org/10.34216/2073-1426-2021-27-4-221-227,Вестник Костромского государственного университета им. Н.А. Некрасова. Серия: Педагогика. Психология. Социальная работа. Ювенология. Социокинетика,OpenAlex,2022,False
Professional education and the formation of universal competencies of the future teacher: integration of activities,"['Darya Ivanovna Mikhailova', 'S.I. Ostapenko', 'S.V. Anokhina']",https://doi.org/10.18413/2313-8971-2022-8-1-0-3,Research Result Pedagogy and Psychology Of Education,OpenAlex,2022,False
Implementation of the Neural Network for Solving the Problem of Regression of Controlled Parameters of Oil Wells,"['Ye Thu Aung', 'Myo Hlaing Win', 'Zin Min Lwin', 'Ilya S. Mikhaylov', 'Zayar Aung']",https://doi.org/10.1109/elconrus54750.2022.9755480,2022 Conference of Russian Young Researchers in Electrical and Electronic Engineering (ElConRus),OpenAlex,2022,False
The Problem of Moral Agency: Prospects of the Sociological Approach in the Context of the “Moral Dyad” Theory,"['Svetlana Naryan', 'Andrey Bykov']",https://doi.org/10.19181/socjour.2022.28.1.8835,Sociological Journal,OpenAlex,2022,False
Pedagogical conditions for the development of performing skills by clarnetists in distance learning conditions,['Hao Zhang'],https://doi.org/10.20952/revtee.v15i34.17557,Revista Tempos e Espaços em Educação,OpenAlex,2022,False
Identifying the Core Driver for the Islamic Banking Capital Adequacy Regulation,"['Henry Penikas', 'Valeriya Stefanenko']",https://doi.org/10.12928/ijiefb.v4i2.4531,Ihtifaz Journal of Islamic Economics Finance and Banking,OpenAlex,2022,False
Legal Regulation of First Aid and Criminal Liability for Failure to Provide it,['Kirill Alekseevich Berchanskiy'],https://doi.org/10.17803/1994-1471.2022.137.4.086-101,Actual Problems of Russian Law,OpenAlex,2022,False
Evaluasi Perencanaan dan Pengadaan Kebutuhan Obat Terhadap Ketersediaan Obat di Apotek Cicaheum Farma,"['Anti Khaerunnisa', 'Moh. Rizky Adriansyah']",https://doi.org/10.36418/cerdika.v2i3.333,Cerdika Jurnal Ilmiah Indonesia,OpenAlex,2022,False
Specific features of memory consolidation and reconsolidation in older individuals with vision and hearing impairments,"['IA Zakharova', 'EA Petrash', 'VB Nikishina', 'TN Razuvaeva', 'Tatiana V. Shuteeva']",https://doi.org/10.24075/brsmu.2022.018,Bulletin of Russian State Medical University,OpenAlex,2022,False
The role of moral values in the professional self-realization of technical university students,"['I. P. Mironov', 'Тatyana А. Belozyorova']",https://doi.org/10.20913/2618-7515-2022-1-14,Professional education in the modern world,OpenAlex,2022,False
Statistical Analysis of Differentiation of the Development of Territories Based on the Assessment of the Effectiveness of the Use of Tax Potential (Case Study: Municipalities of the Tambov Region),"['Vladimir S. Mkhitaryan', 'Г Л Попова']",https://doi.org/10.34023/2313-6383-2022-29-2-12-22,Вопросы статистики,OpenAlex,2022,False
Female and Male auto- and heterostereotypes of Russian and Belarusian youth,"['Maryna Karnialovich', 'В.И. Казаренков']",https://doi.org/10.26425/1816-4277-2022-3-192-200,Vestnik Universiteta,OpenAlex,2022,False
On the Theory and Practice of the Communicative Approach in Teaching Russian as a Foreign Language,"['Т.М. Воителева', 'C. Cao']",https://doi.org/10.17759/langt.2022090108,Language and Text,OpenAlex,2022,False
Methods for diagnosing tendencies towards to extremism in foreign studies,"['A. S. Elzesser', 'Т. В. Капустина', 'D.E. Zhdanova', 'Р. В. Кадыров']",https://doi.org/10.17759/jmfp.2022110107,Journal of Modern Foreign Psychology,OpenAlex,2022,False
Real-valued stability analysis of Runge-Kutta-Chebyshev methods for delay differential equations,"['Alexey S. Eremin', 'T. S. Zubakhina']",https://doi.org/10.1063/5.0081530,AIP conference proceedings,OpenAlex,2022,False
Behavioural Aspects of Customers’ Preference for Participation Banks: Evidence with Turkish Data,"['Tolga Ergün', 'Hüseyin Dağlı']",https://doi.org/10.26650/ibr.2022.51.901498,Istanbul Business Research,OpenAlex,2022,False
Love as a category of spiritual and moral education,['Irina Emelyanova'],https://doi.org/10.15372/phe20220108,Философия образования,OpenAlex,2022,False
Analysis of the possible association of patients’ genetic factors with course of dengue virus infection,"['Л. И. Николаева', 'V. F. Larichev', 'М. А. Saifullin', 'Anna V. Dedova', 'А. Е. Гришечкин', 'Alexey V. Vasilyev', 'A. A Kozlova']",https://doi.org/10.33029/2305-3496-2022-11-1-8-14,Infectious diseases News Opinions Training,OpenAlex,2022,False
The Use of the Station Rotation Model in Teaching English at Non-Language Higher Education Institutions,['Zh.A. Abalyan'],https://doi.org/10.31862/2073-9613-2022-1-105-116,Преподаватель ХХI век,OpenAlex,2022,False
Social responsibility formation in adolescents in organizations of additional education,"['Larisa P. Karpushina', 'Neilya F. Pupkova', 'Svetlana V. Baranova']",https://doi.org/10.51609/2079-3499_2022_13_01_52,The Humanities and Education,OpenAlex,2022,False
Expressing the Dynamics of Linguistic Modality Concepts Through the Matrix Approach,['Irina Kuksa'],https://doi.org/10.15688/jvolsu2.2022.1.12,Vestnik Volgogradskogo gosudarstvennogo universiteta Serija 2 Jazykoznanije,OpenAlex,2022,False
THE CASE STUDY METHOD AS ONE OF THE METHODS OF FORMATION OF PROFESSIONAL COMPETENCIES IN THE PROCESS OF STUDYING MATHEMATICS,"['N.A. Arkhipova', 'N.N. Evdokimova', 'V.V. Maksimov', 'T.V. Rudina']",https://doi.org/10.37313/2413-9645-2022-24-82-11-17,Izvestiya of the Samara Science Centre of the Russian Academy of Sciences Social Humanitarian Medicobiological Sciences,OpenAlex,2022,False
The specifics of digital activity and acceptable scenarios of political behavior of Russian youth: value-ideological orientations and geographical differentiation,"['A. B. Ananchenko', 'E. R. Nikulin', 'A. S. Khardikova']",https://doi.org/10.18413/2408-932x-2022-8-1-0-5,Research Result Social Studies and Humanities,OpenAlex,2022,False
Evaluation of Student Nutrition at the University,"['Rakhmanov Rs', 'ЕS Bogomolova', 'YuG Piskarev', 'RSh Khayrov', 'V. E. Tsaryapkin']",https://doi.org/10.35627/2219-5238/2022-30-3-30-35,ЗДОРОВЬЕ НАСЕЛЕНИЯ И СРЕДА ОБИТАНИЯ - ЗНиСО / PUBLIC HEALTH AND LIFE ENVIRONMENT,OpenAlex,2022,False
Personal Meanings of Safety in the Minds of Professional Francophones,"['Valery G. Tylets', 'Tatyana M. Krasnianskaya']",https://doi.org/10.22363/2313-1683-2022-19-1-71-85,Вестник Российского университета дружбы народов. Серия: Психология и педагогика,OpenAlex,2022,False
Formation of General Cultural Competencies in Students in the Educational Process,"['A. Pryahina', 'Irina U. Saveleva', 'E. Kamalitdinova']",https://doi.org/10.12737/2587-9103-2022-11-2-66-71,Scientific Research and Development Modern Communication Studies,OpenAlex,2022,False
PROFESSIONAL MOTIVATION OF SCIENTIFIC AND PEDAGOGICAL PERSONNEL AS A FACTOR OF SOCIAL SECURITY,['Natalya M. Polyanskaya'],https://doi.org/10.14258/ssi(2022)1-04,SOCIETY AND SECURITY INSIGHTS,OpenAlex,2022,False
Processing of Unstructured Information About Software Vulnerabilities,"['Daniela-Kler Nkodia', 'Alexander Menshchikov', 'Dmitriy Tatarov']",https://doi.org/10.23919/fruct54823.2022.9770888,N/A,OpenAlex,2022,False
Methodology for solving problems of classification of appeals/requests of citizens to the “hotline” of the President of the Russian Federation,"['Е.В. Бунова', 'Vlada S. Serova']",https://doi.org/10.14529/ctcr220203,Bulletin of the South Ural State University Ser Computer Technologies Automatic Control & Radioelectronics,OpenAlex,2022,False
A Comparative Investigation of the Rasch/Guttman Scenario Approach: Measuring Learning Motivation Toward Mathematics in Elementary School,"['Parmaksiz Leonid', 'Tatjana Kanonire']",https://doi.org/10.1177/15345084221091172,Assessment for Effective Intervention,OpenAlex,2022,False
Training of Engineers: Approaches to Customization of Educational Programs,"['Gennady Veselov', 'Anton Pljonkin', 'Anna Opryshko', 'Tatiana Klimina']",https://doi.org/10.1109/educon52537.2022.9766804,2022 IEEE Global Engineering Education Conference (EDUCON),OpenAlex,2022,False
Socio-Philosophical Analysis of the Spiritual and Moral Potential of the Individual,['Д. Б. Казанцева'],https://doi.org/10.15507/2078-9823.057.022.202201.038-051,Humanitarian actual problems of the humanities and education,OpenAlex,2022,False
The use of virtual and augmented reality technologies in industrial training,"['Irina N. Markaryan', 'Natalya A. Datsun', 'Вячеслав Чакрян']",https://doi.org/10.1117/12.2631316,N/A,OpenAlex,2022,False
Special Types of Theft: Terminology and Identification Issues,"['Р. Н. Боровских', 'О. А. Брашнина']",https://doi.org/10.25205/2542-0410-2022-18-1-71-80,Juridical Science and Practice,OpenAlex,2022,False
Project Technologies in Professional Communication Skills Training of International Relations Students,['E. Revkova'],https://doi.org/10.12737/2587-9103-2022-11-2-60-65,Scientific Research and Development Modern Communication Studies,OpenAlex,2022,False
Neurophysiological Solution of the Inverse Problem of EEG Research at Rest and under Conditions of Auditory-Speech Load,['S. A. Gulyaev'],https://doi.org/10.1134/s0022093022020259,Journal of Evolutionary Biochemistry and Physiology,OpenAlex,2022,False
Manifold dynamics and periodic orbits in a multiwell potential,"['Haifa I. Alrebdi', 'K. E. Papadakis', 'Juan F. Navarro', 'Euaggelos E. Zotos']",https://doi.org/10.1016/j.chaos.2022.112208,Chaos Solitons & Fractals,OpenAlex,2022,False
Impact of Digitalisation on the Cognitive Functions of University Students in the Framework of Foreign Language Learning,['Alsu Gabdullina'],https://doi.org/10.30853/ped20220073,Pedagogy Theory & Practice,OpenAlex,2022,False
Multicultural education of the younger generation: Assessing the moral and volitional qualities formation (case study of the Tuva Republic),"['Bailak Salchak', 'Lidia Sagalakova', 'Aida Oorzhak', 'Aziyana A. Oorzhak', 'Pavel Tapyshpan', 'Elena Irgit', 'Saizana Mongush']",https://doi.org/10.1080/03004279.2022.2083210,Education 3-13,OpenAlex,2022,False
Molecular and Clinical Aspects of the Action of Cytidine Diphosphocholine on Cognitive Functions,"['О. А. Громова', 'I. Yu. Torshin', 'Т. Р. Гришина', 'В. И. Демидов', 'T. E. Bogacheva']",https://doi.org/10.1007/s11055-022-01247-x,Neuroscience and Behavioral Physiology,OpenAlex,2022,False
Video Analytics Using Detection on Sparse Frames,"['Timur Mamedov', 'Denis Kuplyakov', 'Anton Konushin']",https://doi.org/10.1134/s0361768822030070,Programming and Computer Software,OpenAlex,2022,False
Morphometric and Functional Changes of the Brain in Mental Disorders and Their Dynamics during Drug Treatment,"['И. В. Галанин', 'А. Г. Нарышкин', 'I. Yu. Liaskina', 'Т. А. Скоромец']",https://doi.org/10.1134/s0362119722020062,Human Physiology,OpenAlex,2022,False
Composite silicon-iron nanoparticles: physical properties and potential application in MRI contrasting,"['Yu. V. Kargina', 'Alexey V. Sobolev', 'Ekaterina S. Kozlyakova', 'A. N. Vasiliev', 'Alexander Kharin', 'Nina V. Sharonova', 'Alexander M. Perepukhov', 'Anna Stavitskaya', 'A. A. Ischenko', 'V. Yu. Timoshenko']",https://doi.org/10.1007/s11051-022-05497-1,Journal of Nanoparticle Research,OpenAlex,2022,False
Physical Culture And Its Influence On The Lifestyle Of Russian Students,"['Ekaterina L. Lutsenko', 'Natalia G. Bogachenko', 'Aleksandr N. Izosimov', 'Ludmila I. Karakuleva']",https://doi.org/10.15405/epsbs.2022.06.73,The European Proceedings of Social & Behavioural Sciences,OpenAlex,2022,False
Studying The Readiness Of Teachers For Inclusive Education,"['Olga V. Karynbaeva', 'Olga E. Shapovalova', 'Natalia V. Shklyar', 'Irina A. Emelyanova', 'Е.А. Борисова']",https://doi.org/10.15405/epsbs.2022.06.48,The European Proceedings of Social & Behavioural Sciences,OpenAlex,2022,False
Social Support for Minors in the First Period of Great Patriotic War,"['Roman S. Serebryaniy', 'D. V. Kamelskikh', 'Oksana V. Yaremchuk']",https://doi.org/10.15690/vsp.v21i3.2425,Вопросы современной педиатрии,OpenAlex,2022,False
Dynamics of Student Performance in a Foreign Language from the Perspective of the Transition to Distance Learning (statistical analysis),['Oksana M. Ladosha'],https://doi.org/10.1109/inforino53888.2022.9782984,2022 VI International Conference on Information Technologies in Engineering Education (Inforino),OpenAlex,2022,False
Study of cognitive performance and psychophysiological state of an operator in conditions of isolation and crowding,"['Светлана А. Лебедева', 'D.М. Shved']",https://doi.org/10.31089/1026-9428-2022-62-4-225-231,Russian Journal of Occupational Health and Industrial Ecology,OpenAlex,2022,False
Information System for Automatic News Text Classification,"['Eduard Chelyshev', 'М.В. Раскатова']",https://doi.org/10.1109/inforino53888.2022.9782937,2022 VI International Conference on Information Technologies in Engineering Education (Inforino),OpenAlex,2022,False
Characteristics of a heterodyne laser interferometer laboratory model for the development of a space gravimetry project,"['K. S. Kudeyarov', 'V. K. Milyukov', 'D. S. Kryuchkov', 'I.A. Semerikov', 'O. A. Ivlev', 'K.Yu. Khabarova', 'N. Kolachevsky']",https://doi.org/10.1070/qel18061,Quantum Electronics,OpenAlex,2022,False
Development Of Children And Students’ Independence In The Process Of Physical Education,"['Irina Vorotilkina', 'Lubov G. Nevelichko', 'Natalia G. Bogachenko', 'Alla G. Kornilova', 'Maria M. Prokopieva']",https://doi.org/10.15405/epsbs.2022.06.118,The European Proceedings of Social & Behavioural Sciences,OpenAlex,2022,False
Parenthood as a Family Law Phenomenon: A Theoretical Look at the Current Normative Origins,['Е. Г. Комиссарова'],https://doi.org/10.17803/1729-5920.2022.187.6.020-035,Lex Russica,OpenAlex,2022,False
Machine Learning Technologies for Bakery Management Decisions,"['Nikita Andriyanov', 'Vitaly Dementiev', 'Alexandr Tashlinsky', 'Andrey Danilov']",https://doi.org/10.1109/dspa53304.2022.9790767,N/A,OpenAlex,2022,False
Comparative Analysis of Models for Assessing the Digital Maturity of the Transformation Infrastructure,['И. А. Брусакова'],https://doi.org/10.1109/scm55405.2022.9794829,N/A,OpenAlex,2022,False
The social human health as a complex interdisciplinary problem,"['А.М. Egorychev', 'S.N. Fomina', 'S.V. TSVETOV', 'Sh. I. Aliev']",https://doi.org/10.32687/0869-866x-2022-30-3-377-382,Problems of Social Hygiene Public Health and History of Medicine,OpenAlex,2022,False
Real-Time Face Tracking Based on the Kalman Filter,"['Htet Aung', 'Bobkov Alexander Valentinovich', 'Bawin Aye']",https://doi.org/10.1109/icieam54945.2022.9787232,"2022 International Conference on Industrial Engineering, Applications and Manufacturing (ICIEAM)",OpenAlex,2022,False
Tradition and Rationality,['N.N. Misyurov'],https://doi.org/10.25205/2541-7517-2022-20-1-37-51,Siberian Journal of Philosophy,OpenAlex,2022,False
"Structure, Functioning and Language Realization of Artistic Fractals in Robert Irwin’s Novel “The Arabian Nightmare”",['Светлана Игоревна Линниченко'],https://doi.org/10.30853/phil20220339,Philology Theory & Practice,OpenAlex,2022,False
THE LIFE WORLD OF DOCTORS: SOCIO-PROFESSIONAL STATUS AND SOCIAL WELL-BEING,['Irina G. Polyakova'],https://doi.org/10.18522/2227-8656.2022.2.10,HUMANITIES OF THE SOUTH OF RUSSIA,OpenAlex,2022,False
THE SPECIFICS OF THE ATTITUDE TO THE SPECIAL MILITARY OPERATION OF THE RUSSIAN FEDERATION IN UKRAINE AS A MANIFESTATION OF BASIC MODELS OF SOCIAL BEHAVIOR IN RUSSIAN SOCIETY,['Victoria Gromakova'],https://doi.org/10.18522/2227-8656.2022.2.5,HUMANITIES OF THE SOUTH OF RUSSIA,OpenAlex,2022,False
Specific aspects of managing the development of youth educational tourism services in the context of training staff for the tourism industry,['O. N. Utkina'],https://doi.org/10.35854/1998-1627-2022-5-479-490,Economics and Management,OpenAlex,2022,False
SOCIO-PSYCHOLOGICAL ADAPTATION OF FIRST YEAR STUDENTS,"[""Ol'ga Sitosanova""]",https://doi.org/10.36629/2686-7788-2022-1-415-418,Scientific Papers Collection of the Angarsk State Technical University,OpenAlex,2022,False
Concept of Family Relationships in Teenage Offenders,"['Mariya Fotina', 'Tatiana Shamovskaya']",https://doi.org/10.21603/2542-1840-2022-6-2-110-116,Bulletin of Kemerovo State University Series Humanities and Social Sciences,OpenAlex,2022,False
Bone (Horn) Arrowheads of the Population of Northern Altai in Xianbei Time (Based on Materials of Karban-I Complex),"['N. Seregin', 'M.A. Demin', 'Sergey Matrenin']",https://doi.org/10.15688/nav.jvolsu.2022.1.8,Nizhnevolzhskiy Arheologicheskiy Vestnik,OpenAlex,2022,False
Development of an International Methodology for the Valuation of Goods for Customs Purposes,"['Elena Sidorova', 'Alexey Artemyev']",https://doi.org/10.15688/ek.jvolsu.2022.1.12,Вестник Волгоградского государственного университета. Серия 3: Экономика. Экология,OpenAlex,2022,False
A Model of Classification of Consumers on the Retail Electricity Market,"['Aleksandr V. Belov', 'Maria Monina', 'Zhenisgul Rakhmetullina']",https://doi.org/10.1109/iemtronics55184.2022.9795782,"2022 IEEE International IOT, Electronics and Mechatronics Conference (IEMTRONICS)",OpenAlex,2022,False
Modeling Suicidality Risks and Understanding the Phenomenon of Suicidality Under the Loupe of Pandemic Context: National Findings of the COMET-G Study in the Russian Population,"['Timur Syunyakov', 'Alexey Pavlichenko', 'Petr Morozov', 'I. А. Fedotov', 'Viktoriia Filatova', 'Arseny Gayduk', 'Yulia Ignatenko', 'Anna Spikina', 'Anna Yashikhina', 'Mikaella E. Patsali', 'Konstantinos Ν. Fountoulakis', 'Daria Smirnova']",https://doi.org/10.17816/cp167,Consortium Psychiatricum,OpenAlex,2022,False
Relaxation model of viscous heat-conducting gas,['Victor Sergeevich Surov'],https://doi.org/10.20537/2076-7633-2022-14-1-23-43,Computer Research and Modeling,OpenAlex,2022,False
Analysis of Investment Attractiveness of “Green” Shares of “RZHD” JSC,"[""Tat'yana Sacuk"", 'Renata Lobodina']",https://doi.org/10.20295/2223-9987-2022-2-223-234,Bulletin of scientific research results,OpenAlex,2022,False
Features of Continuous Education of the Adult Population,"['Larisa Moskovtseva', 'О.Н. Митрофанова', 'Olga Zhuravleva']",https://doi.org/10.1109/tele55498.2022.9801059,N/A,OpenAlex,2022,False
Case method in psychological counseling (on the example of psychological counseling of Muslims),['E. A. Aleksandrova'],https://doi.org/10.31162/2618-9569-2022-15-2-425-442,Minbar Islamic Studies,OpenAlex,2022,False
A Tsallis-like effective exponential delay discounting model and its implications,"['Trambak Bhattacharyya', 'Shanu Shukla', 'Ranu Pandey']",https://doi.org/10.1016/j.physa.2022.127836,Physica A Statistical Mechanics and its Applications,OpenAlex,2022,False
New Russian socio-political phraseology: development trends,"['T. V. Leontyeva', 'А. В. Щетинина']",https://doi.org/10.22363/2618-8163-2022-20-2-186-202,Russian language studies,OpenAlex,2022,False
The Expanding Universe: at the Crossroads of Historical and Scientific Concepts (to the 100th Anniversary of the Discovery of A. A. Fridman),['Vladimir P. Vizgin'],https://doi.org/10.19181/smtp.2022.4.2.19,Science management theory and practice,OpenAlex,2022,False
COVID-19 public discourse in Russia: Semantic mapping,"['Olga Smirnova', 'Galina Denissova', 'Анна Гладкова', 'Sofia B. Steblovskaya', 'Alina S. Antipova']",https://doi.org/10.30547/worldofmedia.2.2022.7,World of Media Journal of Russian Media and Journalism Studies,OpenAlex,2022,False
Patterns of drinking and disease-free living: Only a problem for alcohol abusers?,['Jürgen Rehm'],https://doi.org/10.1016/j.lanepe.2022.100432,The Lancet Regional Health - Europe,OpenAlex,2022,False
Cholinergic Internal and Projection Systems of Hippocampus and Neocortex Critical for Early Spatial Memory Consolidation in Normal and Chronic Cerebral Hypoperfusion Conditions in Rats with Different Abilities to Consolidation: The Role of Cholinergic Interneurons of the Hippocampus,"['Е. И. Захарова', 'A. T. Proshin', 'Mikhail Yu. Monakov', 'A. M. Dudchenko']",https://doi.org/10.3390/biomedicines10071532,Biomedicines,OpenAlex,2022,False
Federated Learning Using Simple Voting Scheme,"['V. A. Kostenko', 'I. R. Tankaev']",https://doi.org/10.3103/s1060992x22020035,Optical Memory and Neural Networks,OpenAlex,2022,False
Main principles of organizing comprehensive care for persons with autism spectrum disorders,"['N.N. Karyakin', 'О.В. Баландина', 'Е.Д. Божкова']",https://doi.org/10.21045/2782-1676-2021-2-1-47-55,Public Health,OpenAlex,2022,False
"Digital Dialogue in Learning: Cognitive, Social, Existential Features and Risks",['Liudmila V. Baevа'],https://doi.org/10.22363/2313-2302-2022-26-2-439-453,RUDN Journal of Philosophy,OpenAlex,2022,False
Features of residual brain activity in patients with chronic disorders of consciousness on resting-state functional MRI,"['Liudmila A. Legostaeva', 'Еlena I. Kremneva', 'Dmitry O. Sinitsyn', 'Elizaveta G. Iazeva', 'Д. В. Сергеев', 'Alexandra G. Poydasheva', 'Ilya S. Bakulin', 'Dmitry Yu. Lagoda', 'A. N. Sergeeva', 'Sofya N. Morozova', 'Yulia V. Ryabinkina', 'М. В. Кротенкова', 'Н. А. Супонева', 'М. А. Пирадов']",https://doi.org/10.54101/acen.2022.2.2,Annals of Clinical and Experimental Neurology,OpenAlex,2022,False
Victimological aspects of crimes against the person: Sociological analysis,['I. N. Bobrovnichiy'],https://doi.org/10.35854/2219-6242-2022-2-130-139,Sociology and Law,OpenAlex,2022,False
Development of psychological and pedagogical classes of the Orenburg region,"['Artur M. Allagulov', 'Ol’ga V. Kuz’menkova', ""Natal'ja V. Drozdova""]",https://doi.org/10.17673/vsgtu-pps.2022.2.1,Vestnik of Samara State Technical University Psychological and Pedagogical Sciences,OpenAlex,2022,False
A Video Project in a Foreign Language as a Technology for Organising Students’ Independent Work at a Non-Linguistic University,['Yuliya Viktorovna Zhidyaeva'],https://doi.org/10.30853/ped20220081,Pedagogy Theory & Practice,OpenAlex,2022,False
Child-adult community as a resource for raising children with special problems,"['Inna Yu. Shustovа', 'Ekaterina Mikhailovna Zhimaeva']",https://doi.org/10.18500/1819-7671-2022-22-2-229-233,Izvestiya of Saratov University Philosophy Psychology Pedagogy,OpenAlex,2022,False
What Reading-Level Match Design Reveals about Specific Reading Disability in a Transparent Orthography and How Much We Can Trust It,"['Natalia Rakhlin', 'Catalina Mourgues', 'Tatiana Logvinenko', 'Alexander N. Kornev', 'Elena L. Grigorenko']",https://doi.org/10.1080/10888438.2022.2095279,Scientific Studies of Reading,OpenAlex,2022,False
The use of flash cards in teaching as a means of developing students’ verbal creativity,"['Natalya N. Vekua', 'Ekaterina A. Mamaeva']",https://doi.org/10.22363/2312-8631-2022-19-2-108-120,RUDN Journal of Informatization in Education,OpenAlex,2022,False
Arctic Regions: Icing at Low Temperatures and Modern Semiconductor Systems for De-Icing Overhead Transmission Line Wires,"['Khrennikov A. Yu.', 'Aleksey A. Kuvshinov', 'Н.М. Александров']",https://doi.org/10.37394/232017.2022.13.5,WSEAS TRANSACTIONS ON ELECTRONICS,OpenAlex,2022,False
Dimensionality Reduction for the Feature System in Classification of Hyperspectral Earth Remote Sensing Data by Use of Neural Networks,"['V. I. Kozik', 'E. S. Nezhevenko']",https://doi.org/10.3103/s8756699022010046,Optoelectronics Instrumentation and Data Processing,OpenAlex,2022,False
"ANALYSIS OF MODERN EXPERIENCE OF RESTORATION, RECONSTRUCTION AND ADAPTATION OF GRAIN SILOS","['N. Bochkareva', 'L. Kaloshina']",https://doi.org/10.34031/2071-7318-2022-7-7-78-90,Bulletin of Belgorod State Technological University named after V G Shukhov,OpenAlex,2022,False
“Balance Wheel” for teaching students of pedagogical direction,['Anastasia M. Drujinina'],https://doi.org/10.20310/1810-231x-2022-21-2-60-66,Psychological-Pedagogical Journal GAUDEAMUS,OpenAlex,2022,False
Neuromyths in Education: An Analysis of the Prevalence Among Faculties of Higher Educational Institutions,"['Maria Maximova', 'Olga Frolova', 'Tatiana Chekalina']",https://doi.org/10.17323/1814-9545-2022-2-190-215,Voprosy Obrazovaniya/ Educational Studies Moscow,OpenAlex,2022,False
Cognitive strategies for translating the anthroponymic metaphor in artistic discourse,"['L.V. Kushnina', 'Liybov K. Geykhman', 'Xinyun Kang']",https://doi.org/10.47475/1994-2796-2022-10314,Bulletin of Chelyabinsk State University,OpenAlex,2022,False
Criminal victimization of vulnerable categories of the Russian population,"['С. А. Денисов', 'V.S. Kharlamov']",https://doi.org/10.47643/1815-1337_2022_4_185,ПРАВО И ГОСУДАРСТВО ТЕОРИЯ И ПРАКТИКА,OpenAlex,2022,False
VOCATIONAL TRAINING FOR SENIOR EMPLOYEES IN RUSSIA: PROBLEMS AND PROSPECTS,['A. V. Markeeva'],https://doi.org/10.52605/16059921_2022_03_49,Information Society,OpenAlex,2022,False
Analysis of the cytogenetic status of children and adolescents in the living in areas with different environmental conditions,"['С. В. Ермолаева', 'E. Ivanov']",https://doi.org/10.25750/1995-4301-2022-2-234-240,Theoretical and Applied Ecology,OpenAlex,2022,False
“Childfree” as a created image of a successful woman in context of her gender role in the modern world (based on modern TV-series),"['E.I. Garaeva', 'Diana Kalugina', 'Alexey Sergeev']",https://doi.org/10.1051/shsconf/202214101005,SHS Web of Conferences,OpenAlex,2022,False
The use of critical thinking technology and project technology in the formation of speaking and writing skills in the RFL,"['E. N. Anokhina', 'Татьяна Семеновна Павлова']",https://doi.org/10.18384/2310-7219-2022-2-25-35,Vestnik Moskovskogo gosudarstvennogo oblastnogo universiteta. Seriâ Pedagogika/Vestnik Moskovskogo gosudarstvennogo oblastnogo universiteta. Seriâ: Pedagogika,OpenAlex,2022,False
NEUROPEPTIDE ACTH&lt;sub&gt;4-10&lt;/sub&gt; ACCELERATES THE ADAPTATION OF PATIENTS TO DENTAL PROSTHESES,"['Elena V. Pozhilova', 'N. N. Abolmasov', 'В. Е. Новиков', 'Svetlana N. Derevtsova']",https://doi.org/10.37903/vsgma.2022.1.3,Вестник Смоленской государственной медицинской академии,OpenAlex,2022,False
YOUTH UNEMPLOYMENT: PROBLEMS AND SOLUTIONS,['Jamilya Sabirovna Efendieva'],https://doi.org/10.47576/2712-7516_2022_5_2_164,Journal of Applied Research,OpenAlex,2022,False
The specifics of the development of emotional intelligence in university students,['Darya A. Solodneva'],https://doi.org/10.20323/1813-145x-2022-2-125-150-157,Yaroslavl Pedagogical Bulletin,OpenAlex,2022,False
On an Extended Family of Quasi-equivalent Models of the Gradient Elasticity Theory,"['S. A. Lurie', 'P. A. Belov', 'Yury Solyaev']",https://doi.org/10.1007/978-3-031-04548-6_9,Advanced structured materials,OpenAlex,2022,False
"The Influence of Acculturation Strategies, Ethnic Identity, Cultural Distance on the Socio-Cultural Adaptation of Students from Arab Countries",['Вера А. Федотова'],https://doi.org/10.17759/sps.2022130208,Social Psychology and Society,OpenAlex,2022,False
"Language, Conceptualization and Embodied Cognition",['Sergey Boroday'],https://doi.org/10.31857/s023620070019510-8,Chelovek,OpenAlex,2022,False
Psychological and Pedagogical Practice in the Education System (Results of the All-Russian Contest of the Best Psychological and Pedagogical Programs and Technologies in the Educational Environment – 2021),"['V.V. Rubtsov', 'Е.С. Романова']",https://doi.org/10.17759/bppe.2022190101,Bulletin of Psychological Practice in Education,OpenAlex,2022,False
Sociocultural Stereotypes as a Factor of Body Image Formation among Preschool Girls,"['К. Н. Белогай', 'Y.V. Borisenko', 'Natalya A. Bugrova']",https://doi.org/10.17759/sps.2022130213,Social Psychology and Society,OpenAlex,2022,False
The global energy crisis: who is to blame and what to do?,['A. Novak'],https://doi.org/10.46920/2409-5516_2022_2168_4,Энергетическая политика,OpenAlex,2022,False
